username,n_weeks,comment,channel_url
Lyre,3 weeks ago,Such profound words... I'm truly enlightened,https://www.youtube.com/channel/UCDz9dxtAKlx8XJceWqCCI5A
naippes,3 weeks ago (edited),"""Computers are like old testament gods, lots of rules and no mercy""",https://www.youtube.com/channel/UCAIOjLu6pR_9iq2veI1jaTw
Rory,3 weeks ago,What a great quote and a cool set up,https://www.youtube.com/channel/UCJGSsdBZ_QUCfS_qccY7e9w
David Stinnett,3 weeks ago,Me: ”Why is my JavaScript not working?”  Me: tweaks code in way to get some result to isolate what the issue is,https://www.youtube.com/channel/UCmnFiccHjQxN3DQ1FvFkcDg
PetGuy,3 weeks ago,"After struggling with some code, this feels like an insult :D",https://www.youtube.com/channel/UCQ9uQbQVIXslymcGyiPakDA
Jaylen Smith,3 weeks ago,"Me: “time to do some productive work” Computer: “hahaha, hold this update file”",https://www.youtube.com/channel/UC_49A1MiumgAMf1_ranbOZw
A Casual Data Scientist,3 weeks ago,Can you guys do a series on recommended laptops or tech accessories to have?,https://www.youtube.com/channel/UCzNBQx7wgD00X61p15X8WnQ
Overlord e,3 weeks ago,"Whenever one of my friends is having computer problems, I just remind them that computers are really just run by fussy little fairies living inside",https://www.youtube.com/channel/UCK-5F-uG3zGBOtC7iCnPQAQ
Jerome’s Bowell movements 100x longrrr,3 weeks ago,"Damn you’re ahead of apple, already got a notch on your monitor.",https://www.youtube.com/channel/UCVUoADU2IsaiAgz54M8Gp3A
ayomide wilfred,3 weeks ago,I love this set up.  Have been looking for a nice set up like this to start my DevNet career with cisco DevNet program.,https://www.youtube.com/channel/UCF4JjzJi73XUtuFyafo0CeA
S A Y A N,3 weeks ago,Please show us the full setup 💓,https://www.youtube.com/channel/UCi1PyWXgraxCPBE10LLg1ag
DeepDive,2 weeks ago,"I just had a question, do programmers use iPads in everyday life, or would a macbook be better to go for.",https://www.youtube.com/channel/UCEZt66FaSgO3E7Aq_0h8p1g
Akshansh Gusain,3 weeks ago,That is precisely why we love computers.,https://www.youtube.com/channel/UC94oOmm8k-dXCbA9p6Jn3aw
Quentin Aziz,3 weeks ago,That mech keeb looks sick bruv!,https://www.youtube.com/channel/UCDNslDkvHiVH1eo1-H37ICA
Sumo Cum Loudly,3 weeks ago,"I already knew when I saw the setup that it was going to be some decent looking girl who got a software job within a year of deciding to, checked it out and I was correct, pics of her on multiple holidays with gucci bags in the year she became a ""software engineer"", putting buttons on a web page. These mf are living on recruit mode, its soul destroying.",https://www.youtube.com/channel/UCETOIDbrz0VOys74K1wSSKw
sidharth reaper,3 weeks ago,Love the setup!,https://www.youtube.com/channel/UCawY-hYSA4SgZlQNYg3qgYg
Emmanuel Yusufu,3 weeks ago,What’s that small timer in the setup?,https://www.youtube.com/channel/UCjpdwei4d6CsO2_YqnMAMZg
Bitronicc,3 weeks ago (edited),"“Just make me a little sandwich.”  “Wait, WAIT NO I MEANT-“ ",https://www.youtube.com/channel/UCDxfOhdGD3SlvKY70DoLEoA
Haohmaru HL,3 weeks ago,How can people have laptops so far away? I started leaning forward and squinting just by looking at this picture,https://www.youtube.com/channel/UCpCfZhh2XqJReItL2efgTpQ
Captain Pramila,3 weeks ago,Yup and thats how you show off your beautiful setup and make people jealous 😂,https://www.youtube.com/channel/UCzcpjc5RnsUychGp6xTGGOA
